No_Struk,Tanggal,Waktu,Kasir,Menu,Kategori,Harga_Satuan,Jumlah,Subtotal,Total_Transaksi,Metode_Pembayaran
-20250721-0005,2025-07-21,21:16:42,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,QRIS
-20250722-0001,2025-07-22,21:56:48,valencia,Gelato,Dessert,12000,5,60000,60000,Debit
-20250722-0002,2025-07-22,19:26:40,val,Americano,Kopi,12000,3,36000,36000,Debit
-20250722-0003,2025-07-22,11:08:17,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,Tunai
-20250722-0004,2025-07-22,13:29:23,valencia,Americano,Kopi,12000,2,24000,24000,Tunai
-20250722-0005,2025-07-22,14:34:51,val,Americano,Kopi,12000,5,60000,60000,QRIS
-20250723-0001,2025-07-23,20:25:47,valencia,Smoothie Kiwi,Smoothie,17000,2,34000,34000,Tunai
-20250723-0002,2025-07-23,11:40:50,val,Mie Goreng,Nasi dan Mie,15000,4,60000,60000,QRIS
-20250723-0003,2025-07-23,11:07:14,val,Latte,Kopi,15000,3,45000,45000,QRIS
-20250723-0004,2025-07-23,14:01:48,valencia,Cappucino,Kopi,15000,5,75000,75000,Tunai
-20250723-0005,2025-07-23,20:17:11,val,Cappucino,Kopi,15000,2,30000,30000,Tunai
-20250724-0001,2025-07-24,10:14:28,valencia,Cappucino,Kopi,15000,4,60000,60000,QRIS
-20250724-0002,2025-07-24,18:14:27,val,Gelato,Dessert,12000,5,60000,60000,Debit
-20250724-0003,2025-07-24,18:55:24,valencia,Espresso,Kopi,10000,2,20000,20000,Tunai
-20250724-0004,2025-07-24,18:38:51,valencia,Espresso,Kopi,10000,2,20000,20000,QRIS
-20250724-0005,2025-07-24,09:32:20,val,Nasi Goreng,Nasi dan Mie,15000,3,45000,45000,Debit
-20250725-0001,2025-07-25,16:39:57,val,Kopi Tubruk,Kopi,8000,2,16000,16000,Debit
-20250725-0002,2025-07-25,09:53:14,val,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Tunai
-20250725-0003,2025-07-25,17:13:05,valencia,Kopi Tubruk,Kopi,8000,2,16000,16000,Debit
-20250725-0004,2025-07-25,17:41:19,val,Kentang Goreng,Camilan,12000,4,48000,48000,QRIS
-20250725-0005,2025-07-25,15:52:01,valencia,Espresso,Kopi,10000,1,10000,10000,QRIS
-20250726-0001,2025-07-26,16:49:03,valencia,Americano,Kopi,12000,3,36000,36000,Tunai
-20250726-0002,2025-07-26,17:56:21,val,Smoothie Kiwi,Smoothie,17000,5,85000,85000,Debit
-20250726-0003,2025-07-26,19:51:20,val,Smoothie Berrie,Smoothie,18000,1,18000,18000,Tunai
-20250726-0004,2025-07-26,20:38:51,val,Lasagna,Pasta,25000,5,125000,125000,Tunai
-20250726-0005,2025-07-26,18:06:29,val,Lasagna,Pasta,25000,4,100000,100000,QRIS
-20250727-0001,2025-07-27,17:14:01,valencia,Cappucino,Kopi,15000,5,75000,75000,QRIS
-20250727-0002,2025-07-27,15:56:35,valencia,Kentang Goreng,Camilan,12000,3,36000,36000,QRIS
-20250727-0003,2025-07-27,14:23:47,val,Cheesecake,Dessert,15000,5,75000,75000,Debit
-20250727-0004,2025-07-27,10:21:54,val,Latte,Kopi,15000,3,45000,45000,QRIS
-20250727-0005,2025-07-27,20:39:54,valencia,Gelato,Dessert,12000,5,60000,60000,QRIS
-20250728-0001,2025-07-28,09:58:54,val,Kopi Tubruk,Kopi,8000,3,24000,24000,Tunai
-20250728-0002,2025-07-28,20:41:25,valencia,Smoothie Alpukat,Smoothie,16000,4,64000,64000,QRIS
-20250728-0003,2025-07-28,20:50:13,valencia,Smoothie Alpukat,Smoothie,16000,3,48000,48000,QRIS
-20250728-0004,2025-07-28,10:56:33,valencia,Cappucino,Kopi,15000,5,75000,75000,Tunai
-20250728-0005,2025-07-28,16:07:35,valencia,Americano,Kopi,12000,5,60000,60000,Tunai
-20250729-0001,2025-07-29,16:26:34,val,Smoothie Berrie,Smoothie,18000,2,36000,36000,Debit
-20250729-0002,2025-07-29,21:47:13,val,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,QRIS
-20250729-0003,2025-07-29,20:52:37,val,Smoothie Alpukat,Smoothie,16000,2,32000,32000,QRIS
-20250729-0004,2025-07-29,15:15:14,val,Lasagna,Pasta,25000,1,25000,25000,Debit
-20250729-0005,2025-07-29,15:28:56,val,Kopi Tubruk,Kopi,8000,2,16000,16000,Debit
-20250701-0001,2025-07-01,11:24:36,val,Smoothie Kiwi,Smoothie,17000,1,17000,17000,QRIS
-20250701-0002,2025-07-01,19:47:22,valencia,Kopi Tubruk,Kopi,8000,4,32000,32000,QRIS
-20250701-0003,2025-07-01,19:28:28,val,Spagetti,Pasta,20000,5,100000,100000,QRIS
-20250701-0004,2025-07-01,13:51:40,valencia,Nasi Goreng,Nasi dan Mie,15000,3,45000,45000,Tunai
-20250701-0005,2025-07-01,21:29:17,val,Spagetti,Pasta,20000,3,60000,60000,Debit
-20250702-0001,2025-07-02,20:46:48,val,Lasagna,Pasta,25000,4,100000,100000,Debit
-20250702-0002,2025-07-02,19:46:15,val,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,QRIS
-20250702-0003,2025-07-02,14:16:53,val,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Tunai
-20250702-0004,2025-07-02,16:53:58,val,Smoothie Kiwi,Smoothie,17000,5,85000,85000,QRIS
-20250702-0005,2025-07-02,11:28:29,val,Smoothie Kiwi,Smoothie,17000,5,85000,85000,Tunai
-20250703-0001,2025-07-03,18:18:33,valencia,Latte,Kopi,15000,3,45000,45000,Debit
-20250703-0002,2025-07-03,16:13:27,valencia,Latte,Kopi,15000,1,15000,15000,Debit
-20250703-0003,2025-07-03,17:31:55,valencia,Lasagna,Pasta,25000,3,75000,75000,Tunai
-20250703-0004,2025-07-03,11:52:38,val,Smoothie Kiwi,Smoothie,17000,3,51000,51000,Debit
-20250703-0005,2025-07-03,19:26:22,valencia,Cheesecake,Dessert,15000,1,15000,15000,Debit
-20250704-0001,2025-07-04,20:50:52,val,Cheesecake,Dessert,15000,5,75000,75000,Tunai
-20250704-0002,2025-07-04,18:15:10,val,Spagetti,Pasta,20000,1,20000,20000,Debit
-20250704-0003,2025-07-04,18:25:34,val,Cheesecake,Dessert,15000,5,75000,75000,Debit
-20250704-0004,2025-07-04,16:57:01,val,Espresso,Kopi,10000,5,50000,50000,Debit
-20250704-0005,2025-07-04,11:53:16,valencia,Gelato,Dessert,12000,2,24000,24000,QRIS
-20250705-0001,2025-07-05,20:00:54,val,Smoothie Berrie,Smoothie,18000,5,90000,90000,Tunai
-20250705-0002,2025-07-05,13:41:33,valencia,Cappucino,Kopi,15000,4,60000,60000,Tunai
-20250705-0003,2025-07-05,09:37:22,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,Tunai
-20250705-0004,2025-07-05,14:27:12,valencia,Americano,Kopi,12000,5,60000,60000,QRIS
-20250705-0005,2025-07-05,09:15:52,valencia,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,Debit
-20250706-0001,2025-07-06,16:31:20,val,Kopi Tubruk,Kopi,8000,4,32000,32000,QRIS
-20250706-0002,2025-07-06,13:59:15,val,Cheesecake,Dessert,15000,5,75000,75000,Tunai
-20250706-0003,2025-07-06,13:14:08,valencia,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Debit
-20250706-0004,2025-07-06,13:48:10,val,Spagetti,Pasta,20000,2,40000,40000,Tunai
-20250706-0005,2025-07-06,12:19:00,val,Lasagna,Pasta,25000,4,100000,100000,Debit
-20250707-0001,2025-07-07,11:58:19,valencia,Gelato,Dessert,12000,2,24000,24000,QRIS
-20250707-0002,2025-07-07,16:05:18,valencia,Espresso,Kopi,10000,2,20000,20000,Debit
-20250707-0003,2025-07-07,20:29:03,val,Mie Goreng,Nasi dan Mie,15000,2,30000,30000,Debit
-20250707-0004,2025-07-07,16:16:07,val,Lasagna,Pasta,25000,5,125000,125000,Debit
-20250707-0005,2025-07-07,12:29:13,val,Cappucino,Kopi,15000,2,30000,30000,Debit
-20250708-0001,2025-07-08,12:12:54,valencia,Smoothie Alpukat,Smoothie,16000,2,32000,32000,QRIS
-20250708-0002,2025-07-08,10:56:45,val,Spagetti,Pasta,20000,1,20000,20000,QRIS
-20250708-0003,2025-07-08,18:24:03,valencia,Spagetti,Pasta,20000,4,80000,80000,Tunai
-20250708-0004,2025-07-08,12:31:38,val,Espresso,Kopi,10000,2,20000,20000,Tunai
-20250708-0005,2025-07-08,18:24:55,val,Spagetti,Pasta,20000,2,40000,40000,QRIS
-20250709-0001,2025-07-09,09:38:25,valencia,Cappucino,Kopi,15000,2,30000,30000,Debit
-20250709-0002,2025-07-09,13:27:18,val,Cheesecake,Dessert,15000,2,30000,30000,Debit
-20250709-0003,2025-07-09,20:45:04,valencia,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,Debit
-20250709-0004,2025-07-09,13:09:02,val,Smoothie Berrie,Smoothie,18000,2,36000,36000,QRIS
-20250709-0005,2025-07-09,16:55:21,val,Cappucino,Kopi,15000,3,45000,45000,Debit
-20250710-0001,2025-07-10,15:51:33,valencia,Espresso,Kopi,10000,3,30000,30000,QRIS
-20250710-0002,2025-07-10,18:10:00,valencia,Gelato,Dessert,12000,2,24000,24000,Tunai
-20250710-0003,2025-07-10,13:17:16,val,Latte,Kopi,15000,3,45000,45000,Tunai
-20250710-0004,2025-07-10,12:20:22,val,Americano,Kopi,12000,1,12000,12000,Tunai
-20250710-0005,2025-07-10,20:33:12,val,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,Tunai
-20250711-0001,2025-07-11,19:01:13,val,Spagetti,Pasta,20000,3,60000,60000,Tunai
-20250711-0002,2025-07-11,21:02:05,valencia,Nasi Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250711-0003,2025-07-11,20:48:37,val,Smoothie Berrie,Smoothie,18000,2,36000,36000,QRIS
-20250711-0004,2025-07-11,17:20:33,valencia,Smoothie Alpukat,Smoothie,16000,2,32000,32000,Tunai
-20250711-0005,2025-07-11,16:24:13,valencia,Latte,Kopi,15000,1,15000,15000,Debit
-20250712-0001,2025-07-12,13:49:36,valencia,Spagetti,Pasta,20000,5,100000,100000,Debit
-20250712-0002,2025-07-12,16:32:44,val,Espresso,Kopi,10000,4,40000,40000,Debit
-20250712-0003,2025-07-12,09:17:34,val,Lasagna,Pasta,25000,3,75000,75000,Tunai
-20250712-0004,2025-07-12,15:20:50,valencia,Lasagna,Pasta,25000,3,75000,75000,Debit
-20250712-0005,2025-07-12,09:08:30,valencia,Gelato,Dessert,12000,3,36000,36000,QRIS
-20250713-0001,2025-07-13,19:15:20,val,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Debit
-20250713-0002,2025-07-13,13:58:59,val,Kopi Tubruk,Kopi,8000,2,16000,16000,QRIS
-20250713-0003,2025-07-13,09:00:58,valencia,Espresso,Kopi,10000,3,30000,30000,Debit
-20250713-0004,2025-07-13,11:21:01,val,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Tunai
-20250713-0005,2025-07-13,12:49:09,valencia,Cappucino,Kopi,15000,3,45000,45000,QRIS
-20250714-0001,2025-07-14,17:38:45,val,Latte,Kopi,15000,1,15000,15000,Debit
-20250714-0002,2025-07-14,16:35:04,val,Smoothie Berrie,Smoothie,18000,1,18000,18000,QRIS
-20250714-0003,2025-07-14,18:23:28,val,Espresso,Kopi,10000,4,40000,40000,QRIS
-20250714-0004,2025-07-14,16:34:48,valencia,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,QRIS
-20250714-0005,2025-07-14,19:34:35,val,Smoothie Kiwi,Smoothie,17000,4,68000,68000,QRIS
-20250715-0001,2025-07-15,13:57:22,valencia,Americano,Kopi,12000,1,12000,12000,QRIS
-20250715-0002,2025-07-15,10:02:35,valencia,Cheesecake,Dessert,15000,3,45000,45000,Debit
-20250715-0003,2025-07-15,17:38:07,valencia,Smoothie Alpukat,Smoothie,16000,4,64000,64000,QRIS
-20250715-0004,2025-07-15,16:54:03,val,Smoothie Berrie,Smoothie,18000,5,90000,90000,QRIS
-20250715-0005,2025-07-15,19:27:18,valencia,Gelato,Dessert,12000,5,60000,60000,Tunai
-20250716-0001,2025-07-16,17:01:23,valencia,Smoothie Kiwi,Smoothie,17000,4,68000,68000,Debit
-20250716-0002,2025-07-16,11:52:31,valencia,Mie Goreng,Nasi dan Mie,15000,2,30000,30000,Tunai
-20250716-0003,2025-07-16,11:50:00,val,Spagetti,Pasta,20000,4,80000,80000,QRIS
-20250716-0004,2025-07-16,13:08:10,val,Smoothie Alpukat,Smoothie,16000,4,64000,64000,QRIS
-20250716-0005,2025-07-16,19:05:07,val,Smoothie Kiwi,Smoothie,17000,2,34000,34000,QRIS
-20250717-0001,2025-07-17,09:20:02,val,Latte,Kopi,15000,5,75000,75000,Tunai
-20250717-0002,2025-07-17,17:28:59,valencia,Cheesecake,Dessert,15000,3,45000,45000,Debit
-20250717-0003,2025-07-17,11:28:52,valencia,Latte,Kopi,15000,4,60000,60000,QRIS
-20250717-0004,2025-07-17,19:25:56,valencia,Lasagna,Pasta,25000,5,125000,125000,Debit
-20250717-0005,2025-07-17,16:00:39,val,Kopi Tubruk,Kopi,8000,5,40000,40000,Debit
-20250718-0001,2025-07-18,12:27:32,val,Kopi Tubruk,Kopi,8000,2,16000,16000,Tunai
-20250718-0002,2025-07-18,13:11:49,valencia,Espresso,Kopi,10000,2,20000,20000,Tunai
-20250718-0003,2025-07-18,10:04:21,valencia,Spagetti,Pasta,20000,2,40000,40000,Tunai
-20250718-0004,2025-07-18,20:24:57,val,Smoothie Berrie,Smoothie,18000,4,72000,72000,Tunai
-20250718-0005,2025-07-18,12:17:53,val,Kentang Goreng,Camilan,12000,3,36000,36000,Debit
-20250719-0001,2025-07-19,18:02:26,valencia,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,Tunai
-20250719-0002,2025-07-19,15:25:10,valencia,Americano,Kopi,12000,1,12000,12000,QRIS
-20250719-0003,2025-07-19,12:40:55,val,Cheesecake,Dessert,15000,3,45000,45000,QRIS
-20250719-0004,2025-07-19,11:28:52,valencia,Cappucino,Kopi,15000,1,15000,15000,Tunai
-20250719-0005,2025-07-19,16:48:06,val,Mie Goreng,Nasi dan Mie,15000,3,45000,45000,Tunai
-20250720-0001,2025-07-20,13:52:24,valencia,Latte,Kopi,15000,5,75000,75000,Debit
-20250720-0002,2025-07-20,16:53:22,val,Smoothie Kiwi,Smoothie,17000,3,51000,51000,Tunai
-20250720-0003,2025-07-20,14:47:50,valencia,Gelato,Dessert,12000,5,60000,60000,QRIS
-20250720-0004,2025-07-20,18:38:39,valencia,Cappucino,Kopi,15000,4,60000,60000,Tunai
-20250720-0005,2025-07-20,15:33:38,valencia,Gelato,Dessert,12000,1,12000,12000,QRIS
-20250721-0001,2025-07-21,14:04:22,val,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,Debit
-20250721-0002,2025-07-21,09:18:07,val,Kopi Tubruk,Kopi,8000,1,8000,8000,Debit
-20250721-0003,2025-07-21,16:16:46,val,Smoothie Kiwi,Smoothie,17000,5,85000,85000,QRIS
-20250721-0004,2025-07-21,11:51:24,valencia,Spagetti,Pasta,20000,3,60000,60000,Debit
-20250721-0005,2025-07-21,17:01:38,valencia,Kopi Tubruk,Kopi,8000,5,40000,40000,Tunai
-20250722-0001,2025-07-22,09:43:44,valencia,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Debit
-20250722-0002,2025-07-22,13:17:27,val,Latte,Kopi,15000,1,15000,15000,Debit
-20250722-0003,2025-07-22,15:11:04,valencia,Cheesecake,Dessert,15000,1,15000,15000,QRIS
-20250722-0004,2025-07-22,12:09:20,valencia,Americano,Kopi,12000,1,12000,12000,Debit
-20250722-0005,2025-07-22,09:36:23,valencia,Cheesecake,Dessert,15000,4,60000,60000,Tunai
-20250723-0001,2025-07-23,09:24:20,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,Debit
-20250723-0002,2025-07-23,17:31:54,val,Spagetti,Pasta,20000,4,80000,80000,Tunai
-20250723-0003,2025-07-23,20:05:39,valencia,Spagetti,Pasta,20000,3,60000,60000,Debit
-20250723-0004,2025-07-23,16:08:20,val,Cappucino,Kopi,15000,5,75000,75000,Debit
-20250723-0005,2025-07-23,14:41:59,valencia,Gelato,Dessert,12000,1,12000,12000,QRIS
-20250724-0001,2025-07-24,21:27:03,valencia,Cappucino,Kopi,15000,4,60000,60000,Debit
-20250724-0002,2025-07-24,21:58:13,valencia,Kopi Tubruk,Kopi,8000,3,24000,24000,Tunai
-20250724-0003,2025-07-24,11:48:45,valencia,Mie Goreng,Nasi dan Mie,15000,2,30000,30000,Debit
-20250724-0004,2025-07-24,09:11:06,valencia,Mie Goreng,Nasi dan Mie,15000,3,45000,45000,QRIS
-20250724-0005,2025-07-24,12:55:28,valencia,Latte,Kopi,15000,5,75000,75000,QRIS
-20250725-0001,2025-07-25,14:44:37,valencia,Gelato,Dessert,12000,1,12000,12000,Debit
-20250725-0002,2025-07-25,14:00:29,valencia,Smoothie Berrie,Smoothie,18000,3,54000,54000,QRIS
-20250725-0003,2025-07-25,09:45:14,val,Kentang Goreng,Camilan,12000,2,24000,24000,Debit
-20250725-0004,2025-07-25,12:43:06,valencia,Gelato,Dessert,12000,2,24000,24000,Debit
-20250725-0005,2025-07-25,21:18:34,val,Cappucino,Kopi,15000,5,75000,75000,Debit
-20250726-0001,2025-07-26,12:02:00,val,Gelato,Dessert,12000,2,24000,24000,Tunai
-20250726-0002,2025-07-26,14:39:24,val,Kopi Tubruk,Kopi,8000,4,32000,32000,QRIS
-20250726-0003,2025-07-26,13:46:33,val,Spagetti,Pasta,20000,1,20000,20000,QRIS
-20250726-0004,2025-07-26,15:24:34,valencia,Smoothie Kiwi,Smoothie,17000,3,51000,51000,Debit
-20250726-0005,2025-07-26,12:35:07,val,Cheesecake,Dessert,15000,2,30000,30000,Tunai
-20250727-0001,2025-07-27,13:46:18,val,Espresso,Kopi,10000,5,50000,50000,QRIS
-20250727-0002,2025-07-27,21:51:30,valencia,Kopi Tubruk,Kopi,8000,3,24000,24000,QRIS
-20250727-0003,2025-07-27,19:51:06,valencia,Cheesecake,Dessert,15000,5,75000,75000,Tunai
-20250727-0004,2025-07-27,10:23:45,valencia,Kopi Tubruk,Kopi,8000,3,24000,24000,QRIS
-20250727-0005,2025-07-27,18:11:59,val,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,Debit
-20250728-0001,2025-07-28,19:43:57,valencia,Spagetti,Pasta,20000,5,100000,100000,QRIS
-20250728-0002,2025-07-28,17:53:26,val,Latte,Kopi,15000,1,15000,15000,Tunai
-20250728-0003,2025-07-28,19:12:28,val,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,Tunai
-20250728-0004,2025-07-28,20:17:25,valencia,Spagetti,Pasta,20000,4,80000,80000,QRIS
-20250728-0005,2025-07-28,09:14:33,valencia,Smoothie Alpukat,Smoothie,16000,3,48000,48000,Debit
-20250729-0001,2025-07-29,20:40:35,val,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Tunai
-20250729-0002,2025-07-29,15:04:17,val,Smoothie Alpukat,Smoothie,16000,1,16000,16000,QRIS
-20250729-0003,2025-07-29,21:06:48,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,QRIS
-20250729-0004,2025-07-29,12:55:38,val,Gelato,Dessert,12000,2,24000,24000,Tunai
-20250729-0005,2025-07-29,20:37:25,valencia,Americano,Kopi,12000,4,48000,48000,Debit
-20250730-0001,2025-07-30,14:57:02,val,Lasagna,Pasta,25000,3,75000,75000,Debit
-20250730-0002,2025-07-30,15:19:52,valencia,Latte,Kopi,15000,3,45000,45000,Tunai
-20250730-0003,2025-07-30,18:48:04,valencia,Kentang Goreng,Camilan,12000,3,36000,36000,Debit
-20250730-0004,2025-07-30,12:36:55,valencia,Gelato,Dessert,12000,3,36000,36000,Tunai
-20250730-0005,2025-07-30,16:06:14,valencia,Kopi Tubruk,Kopi,8000,4,32000,32000,QRIS
-20250731-0001,2025-07-31,14:39:47,val,Latte,Kopi,15000,4,60000,60000,Debit
-20250731-0002,2025-07-31,10:40:26,val,Americano,Kopi,12000,2,24000,24000,QRIS
-20250731-0003,2025-07-31,20:53:07,val,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,Tunai
-20250731-0004,2025-07-31,21:35:03,val,Mie Goreng,Nasi dan Mie,15000,1,15000,15000,Debit
-20250731-0005,2025-07-31,09:19:12,valencia,Smoothie Alpukat,Smoothie,16000,3,48000,48000,QRIS
-20250801-0001,2025-08-01,19:40:42,valencia,Spagetti,Pasta,20000,3,60000,60000,QRIS
-20250801-0002,2025-08-01,16:21:36,valencia,Smoothie Berrie,Smoothie,18000,2,36000,36000,QRIS
-20250801-0003,2025-08-01,09:42:21,val,Americano,Kopi,12000,3,36000,36000,Debit
-20250801-0004,2025-08-01,13:49:33,valencia,Mie Goreng,Nasi dan Mie,15000,3,45000,45000,QRIS
-20250801-0005,2025-08-01,20:05:38,val,Spagetti,Pasta,20000,2,40000,40000,QRIS
-20250802-0001,2025-08-02,11:26:09,valencia,Americano,Kopi,12000,4,48000,48000,Tunai
-20250802-0002,2025-08-02,11:59:02,val,Kopi Tubruk,Kopi,8000,4,32000,32000,Debit
-20250802-0003,2025-08-02,21:17:49,valencia,Smoothie Berrie,Smoothie,18000,2,36000,36000,Tunai
-20250802-0004,2025-08-02,15:36:40,val,Cappucino,Kopi,15000,5,75000,75000,Tunai
-20250802-0005,2025-08-02,20:07:44,valencia,Cappucino,Kopi,15000,2,30000,30000,Tunai
-20250803-0001,2025-08-03,09:15:31,val,Kentang Goreng,Camilan,12000,2,24000,24000,Debit
-20250803-0002,2025-08-03,16:37:17,val,Cappucino,Kopi,15000,3,45000,45000,Debit
-20250803-0003,2025-08-03,14:39:14,val,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Debit
-20250803-0004,2025-08-03,21:03:12,val,Spagetti,Pasta,20000,4,80000,80000,Debit
-20250803-0005,2025-08-03,16:24:21,val,Gelato,Dessert,12000,3,36000,36000,QRIS
-20250804-0001,2025-08-04,19:05:00,val,Kentang Goreng,Camilan,12000,4,48000,48000,QRIS
-20250804-0002,2025-08-04,10:55:37,val,Smoothie Alpukat,Smoothie,16000,4,64000,64000,Tunai
-20250804-0003,2025-08-04,19:13:06,valencia,Cheesecake,Dessert,15000,4,60000,60000,QRIS
-20250804-0004,2025-08-04,19:20:51,valencia,Kopi Tubruk,Kopi,8000,5,40000,40000,Debit
-20250804-0005,2025-08-04,11:15:00,val,Gelato,Dessert,12000,1,12000,12000,QRIS
-20250805-0001,2025-08-05,11:03:45,valencia,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Debit
-20250805-0002,2025-08-05,13:32:19,val,Smoothie Kiwi,Smoothie,17000,3,51000,51000,Tunai
-20250805-0003,2025-08-05,15:44:22,val,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Tunai
-20250805-0004,2025-08-05,18:32:56,val,Gelato,Dessert,12000,1,12000,12000,Debit
-20250805-0005,2025-08-05,13:15:55,val,Smoothie Kiwi,Smoothie,17000,2,34000,34000,QRIS
-20250806-0001,2025-08-06,21:07:49,val,Americano,Kopi,12000,5,60000,60000,Tunai
-20250806-0002,2025-08-06,20:13:12,valencia,Americano,Kopi,12000,3,36000,36000,QRIS
-20250806-0003,2025-08-06,14:14:11,valencia,Cappucino,Kopi,15000,3,45000,45000,Tunai
-20250806-0004,2025-08-06,12:57:18,val,Gelato,Dessert,12000,1,12000,12000,QRIS
-20250806-0005,2025-08-06,13:42:05,val,Espresso,Kopi,10000,3,30000,30000,Tunai
-20250807-0001,2025-08-07,12:06:15,valencia,Lasagna,Pasta,25000,4,100000,100000,QRIS
-20250807-0002,2025-08-07,18:12:00,valencia,Latte,Kopi,15000,3,45000,45000,Debit
-20250807-0003,2025-08-07,15:43:33,valencia,Smoothie Berrie,Smoothie,18000,1,18000,18000,QRIS
-20250807-0004,2025-08-07,12:37:08,valencia,Cheesecake,Dessert,15000,3,45000,45000,QRIS
-20250807-0005,2025-08-07,10:59:24,val,Latte,Kopi,15000,3,45000,45000,QRIS
-20250808-0001,2025-08-08,11:15:48,valencia,Kentang Goreng,Camilan,12000,4,48000,48000,Debit
-20250808-0002,2025-08-08,14:28:15,val,Cheesecake,Dessert,15000,3,45000,45000,Debit
-20250808-0003,2025-08-08,10:18:38,valencia,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Tunai
-20250808-0004,2025-08-08,15:47:21,val,Smoothie Kiwi,Smoothie,17000,5,85000,85000,Debit
-20250808-0005,2025-08-08,21:42:56,val,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250809-0001,2025-08-09,20:10:57,valencia,Americano,Kopi,12000,1,12000,12000,Debit
-20250809-0002,2025-08-09,19:38:11,valencia,Latte,Kopi,15000,5,75000,75000,Tunai
-20250809-0003,2025-08-09,15:30:15,valencia,Cheesecake,Dessert,15000,4,60000,60000,Tunai
-20250809-0004,2025-08-09,12:01:48,valencia,Cappucino,Kopi,15000,3,45000,45000,Debit
-20250809-0005,2025-08-09,13:35:02,valencia,Americano,Kopi,12000,3,36000,36000,QRIS
-20250810-0001,2025-08-10,13:15:29,valencia,Kentang Goreng,Camilan,12000,3,36000,36000,Tunai
-20250810-0002,2025-08-10,14:43:13,valencia,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Tunai
-20250810-0003,2025-08-10,17:43:10,val,Kentang Goreng,Camilan,12000,2,24000,24000,Debit
-20250810-0004,2025-08-10,11:08:32,val,Smoothie Kiwi,Smoothie,17000,2,34000,34000,QRIS
-20250810-0005,2025-08-10,17:55:28,val,Smoothie Berrie,Smoothie,18000,2,36000,36000,QRIS
-20250811-0001,2025-08-11,18:44:54,val,Mie Goreng,Nasi dan Mie,15000,4,60000,60000,QRIS
-20250811-0002,2025-08-11,14:05:29,val,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,Tunai
-20250811-0003,2025-08-11,11:38:33,val,Gelato,Dessert,12000,2,24000,24000,QRIS
-20250811-0004,2025-08-11,14:17:14,val,Americano,Kopi,12000,4,48000,48000,QRIS
-20250811-0005,2025-08-11,10:08:41,val,Espresso,Kopi,10000,2,20000,20000,QRIS
-20250812-0001,2025-08-12,14:27:47,valencia,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,QRIS
-20250812-0002,2025-08-12,15:48:30,val,Espresso,Kopi,10000,4,40000,40000,Tunai
-20250812-0003,2025-08-12,19:55:59,val,Lasagna,Pasta,25000,2,50000,50000,Tunai
-20250812-0004,2025-08-12,18:15:59,valencia,Espresso,Kopi,10000,1,10000,10000,Debit
-20250812-0005,2025-08-12,21:40:05,val,Espresso,Kopi,10000,5,50000,50000,Tunai
-20250813-0001,2025-08-13,19:09:40,val,Cheesecake,Dessert,15000,4,60000,60000,QRIS
-20250813-0002,2025-08-13,19:51:35,valencia,Smoothie Kiwi,Smoothie,17000,3,51000,51000,QRIS
-20250813-0003,2025-08-13,15:56:53,valencia,Cappucino,Kopi,15000,5,75000,75000,Debit
-20250813-0004,2025-08-13,19:03:57,valencia,Lasagna,Pasta,25000,4,100000,100000,QRIS
-20250813-0005,2025-08-13,12:54:27,val,Mie Goreng,Nasi dan Mie,15000,2,30000,30000,QRIS
-20250814-0001,2025-08-14,12:59:45,valencia,Kopi Tubruk,Kopi,8000,2,16000,16000,Tunai
-20250814-0002,2025-08-14,16:04:07,val,Cheesecake,Dessert,15000,4,60000,60000,QRIS
-20250814-0003,2025-08-14,16:07:43,val,Cheesecake,Dessert,15000,3,45000,45000,Tunai
